Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543269600.0 1010.0 NA 39 47 0 NA NA 84 99 0 NA NA 139 214 183 NA NA 434 361 840 NA
1543269600.0 1020.0 NA 79 25 0 76 NA 144 70 0 144 NA 301 129 95 301 NA 596 321 243 476
1543269600.0 1040.1 NA 70 33 0 NA NA 129 75 0 NA NA 462 139 144 NA NA 1326 259 414 NA
1543269600.0 1325.5 NA 169 0 NA NA NA 280 0 NA NA NA 5961 181 NA NA NA 6919 371 NA NA
1543269600.0 1325.51 NA 168 0 NA NA NA 261 0 NA NA NA 2087 229 NA NA NA 2759 475 NA NA
1543269600.0 1325.7 NA 160 0 NA NA NA 261 0 NA NA NA 4663 203 NA NA NA 6613 380 NA NA
1543269600.0 135.8 161 NA NA NA NA 264 NA NA NA NA 781 NA NA NA NA 1023 NA NA NA NA
1543269600.0 136.741 NA 87 354 0 NA NA 159 559 0 NA NA 756 17091 1363 NA NA 1071 7028 2066 NA
1543269600.0 136.761 NA 101 395 0 NA NA 163 619 0 NA NA 724 21984 1377 NA NA 978 9468 1785 NA
1543269600.0 136.7611 NA 183 0 NA NA NA 300 0 NA NA NA 5853 164 NA NA NA 5897 308 NA NA
1543269600.0 136.762 NA 99 398 0 NA NA 160 672 0 NA NA 742 24210 983 NA NA 978 10916 1353 NA
1543269600.0 136.763 NA 100 364 0 NA NA 163 555 0 NA NA 760 19448 1319 NA NA 978 7755 1565 NA
1543269600.0 136.7721 NA 172 0 NA NA NA 295 0 NA NA NA 5546 160 NA NA NA 6503 503 NA NA
1543269600.0 136.7722 NA 159 0 NA NA NA 266 0 NA NA NA 1806 166 NA NA NA 1926 239 NA NA
1543269600.0 136.7801 NA 109 0 NA NA NA 185 0 NA NA NA 573 342 NA NA NA 955 682 NA NA
1543269600.0 136.7802 NA 84 0 NA NA NA 140 0 NA NA NA 395 232 NA NA NA 976 830 NA NA
1543269600.0 136.8311 NA 174 0 NA NA NA 289 0 NA NA NA 2636 184 NA NA NA 3630 514 NA NA
1543269600.0 136.8521 NA 168 0 NA NA NA 257 0 NA NA NA 1382 125 NA NA NA 1414 286 NA NA
1543269600.0 2017.8 206 NA NA NA NA 316 NA NA NA NA 711 NA NA NA NA 2687 NA NA NA NA
1543269600.0 505.0 45 0 NA NA NA 87 0 NA NA NA 196 133 NA NA NA 419 472 NA NA NA
1543269600.0 507.0 42 0 NA NA NA 85 0 NA NA NA 219 120 NA NA NA 827 276 NA NA NA
1543269600.0 510.0 46 0 NA NA NA 85 0 NA NA NA 258 119 NA NA NA 713 276 NA NA NA
1543269600.0 511.0 50 0 NA NA NA 92 0 NA NA NA 9471 123 NA NA NA 11467 385 NA NA NA
1543269600.0 514.0 21 47 0 NA NA 62 94 0 NA NA 379 165 117 NA NA 865 459 197 NA NA
1543269600.0 519.0 21 42 0 NA NA 63 92 0 NA NA 612 179 122 NA NA 1354 440 284 NA NA
1543269600.0 520.0 21 41 0 NA NA 62 93 0 NA NA 970 170 113 NA NA 1526 302 177 NA NA
1543269600.0 528.0 21 45 0 NA NA 63 93 0 NA NA 602 185 114 NA NA 1576 409 186 NA NA
1543269600.0 529.0 21 41 0 NA NA 62 92 0 NA NA 1837 191 162 NA NA 3486 311 333 NA NA
1543269600.0 530.0 20 50 0 NA NA 63 94 0 NA NA 1157 225 161 NA NA 1383 367 333 NA NA
1543269600.0 531.0 74 0 NA NA NA 196 0 NA NA NA 217 196 NA NA NA 792 354 NA NA NA
1543269600.0 534.0 44 0 NA NA NA 105 0 NA NA NA 275 167 NA NA NA 670 508 NA NA NA
1543269600.0 535.0 46 0 NA NA NA 99 0 NA NA NA 1063 190 NA NA NA 3021 962 NA NA NA
1543269600.0 541.0 48 0 NA NA NA 102 0 NA NA NA 246 157 NA NA NA 472 377 NA NA NA
1543269600.0 545.0 47 0 NA NA NA 98 0 NA NA NA 236 192 NA NA NA 347 363 NA NA NA
1543269600.0 552.0 24 45 0 NA NA 63 93 0 NA NA 1366 194 163 NA NA 2300 303 333 NA NA
1543269600.0 554.0 21 50 0 NA NA 62 94 0 NA NA 2088 235 177 NA NA 2451 813 520 NA NA
1543269600.0 556.0 22 47 0 NA NA 65 93 0 NA NA 463 252 189 NA NA 1113 929 895 NA NA
1543269600.0 560.0 46 0 NA NA NA 87 0 NA NA NA 259 167 NA NA NA 2112 454 NA NA NA
1543269600.0 561.0 47 0 NA NA NA 88 0 NA NA NA 212 199 NA NA NA 639 1077 NA NA NA
1543269600.0 562.0 24 41 0 NA NA 66 93 0 NA NA 479 209 184 NA NA 1975 327 894 NA NA
