Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543269600.0 1020.0 NA 79 25 0 76 NA 144 70 0 144 NA 301 129 95 301 NA 596 321 243 476
1543269600.0 1325.51 NA 168 0 NA NA NA 261 0 NA NA NA 2087 229 NA NA NA 2759 475 NA NA
1543269600.0 135.8 161 NA NA NA NA 264 NA NA NA NA 781 NA NA NA NA 1023 NA NA NA NA
1543269600.0 136.7611 NA 183 0 NA NA NA 300 0 NA NA NA 5853 164 NA NA NA 5897 308 NA NA
1543269600.0 136.762 NA 99 398 0 NA NA 160 672 0 NA NA 742 24210 983 NA NA 978 10916 1353 NA
1543269600.0 136.763 NA 100 364 0 NA NA 163 555 0 NA NA 760 19448 1319 NA NA 978 7755 1565 NA
1543269600.0 136.7721 NA 172 0 NA NA NA 295 0 NA NA NA 5546 160 NA NA NA 6503 503 NA NA
1543269600.0 136.7722 NA 159 0 NA NA NA 266 0 NA NA NA 1806 166 NA NA NA 1926 239 NA NA
1543269600.0 136.7801 NA 109 0 NA NA NA 185 0 NA NA NA 573 342 NA NA NA 955 682 NA NA
1543269600.0 136.7802 NA 84 0 NA NA NA 140 0 NA NA NA 395 232 NA NA NA 976 830 NA NA
1543269600.0 136.8311 NA 174 0 NA NA NA 289 0 NA NA NA 2636 184 NA NA NA 3630 514 NA NA
1543269600.0 2017.8 206 NA NA NA NA 316 NA NA NA NA 711 NA NA NA NA 2687 NA NA NA NA
1543269600.0 531.0 74 0 NA NA NA 196 0 NA NA NA 217 196 NA NA NA 792 354 NA NA NA
1543269600.0 534.0 44 0 NA NA NA 105 0 NA NA NA 275 167 NA NA NA 670 508 NA NA NA
1543269600.0 545.0 47 0 NA NA NA 98 0 NA NA NA 236 192 NA NA NA 347 363 NA NA NA
1543269600.0 554.0 21 50 0 NA NA 62 94 0 NA NA 2088 235 177 NA NA 2451 813 520 NA NA
1543269600.0 560.0 46 0 NA NA NA 87 0 NA NA NA 259 167 NA NA NA 2112 454 NA NA NA
