Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543356000.0 1.0 64 74 166 NA NA 118 115 222 NA NA 3067 695 1970 NA NA 3597 978 2761 NA NA
1543356000.0 10.0 NA 106 251 0 NA NA 183 319 0 NA NA 4786 7356 1384 NA NA 5781 8370 1546 NA
1543356000.0 101.0 88 NA NA NA NA 146 NA NA NA NA 2040 NA NA NA NA 2246 NA NA NA NA
1543356000.0 102.0 89 NA NA NA NA 146 NA NA NA NA 1747 NA NA NA NA 1899 NA NA NA NA
1543356000.0 103.0 48 0 0 NA NA 93 0 0 NA NA 1073 287 2788 NA NA 1579 377 3205 NA NA
1543356000.0 105.0 64 76 38 NA NA 118 117 63 NA NA 2996 781 217 NA NA 3276 1000 251 NA NA
1543356000.0 106.0 48 0 0 NA NA 93 0 0 NA NA 1067 281 2825 NA NA 1381 370 3349 NA NA
1543356000.0 107.0 65 78 246 NA NA 120 118 305 NA NA 6797 847 3459 NA NA 7556 1232 3866 NA NA
1543356000.0 108.0 66 78 243 NA NA 121 118 305 NA NA 7976 877 3852 NA NA 8823 1118 4886 NA NA
1543356000.0 109.0 68 78 242 NA NA 121 118 305 NA NA 8016 886 3774 NA NA 8802 1099 4346 NA NA
1543356000.0 11.0 NA 91 256 0 73 NA 169 325 0 99 NA 3592 3730 1574 419 NA 4255 4527 1762 481
1543356000.0 110.0 56 75 245 NA NA 107 114 303 NA NA 1339 720 3200 NA NA 1631 953 3636 NA NA
1543356000.0 111.0 65 77 246 NA NA 118 116 305 NA NA 2780 642 3293 NA NA 3227 867 3790 NA NA
1543356000.0 112.0 65 76 241 NA NA 119 117 304 NA NA 4803 821 3379 NA NA 5293 1029 3844 NA NA
1543356000.0 113.0 65 76 246 NA NA 118 116 304 NA NA 4789 817 3368 NA NA 5228 1042 3752 NA NA
1543356000.0 114.0 65 75 246 NA NA 119 117 304 NA NA 5535 840 3431 NA NA 6443 1104 3860 NA NA
1543356000.0 115.0 65 77 243 NA NA 119 118 304 NA NA 5534 822 3430 NA NA 6269 980 3845 NA NA
1543356000.0 116.0 66 77 245 NA NA 120 118 304 NA NA 6269 873 3552 NA NA 7321 1276 4010 NA NA
1543356000.0 117.0 66 77 245 NA NA 120 118 305 NA NA 7392 881 3638 NA NA 8493 1120 4056 NA NA
1543356000.0 118.0 69 80 245 NA NA 120 118 306 NA NA 7246 904 3759 NA NA 7943 1196 4191 NA NA
1543356000.0 119.0 64 76 241 NA NA 118 116 304 NA NA 4027 801 3351 NA NA 4520 1016 3819 NA NA
1543356000.0 12.0 NA 104 249 0 NA NA 182 320 0 NA NA 4272 7375 1458 NA NA 4704 8374 1580 NA
1543356000.0 120.0 59 75 243 NA NA 106 113 302 NA NA 1148 726 3178 NA NA 1357 960 3618 NA NA
1543356000.0 121.0 65 78 243 NA NA 120 118 307 NA NA 7233 898 3875 NA NA 7928 1150 5047 NA NA
1543356000.0 122.0 64 77 242 NA NA 116 114 303 NA NA 1214 491 3120 NA NA 1437 708 3571 NA NA
1543356000.0 123.1 195 NA NA NA NA 262 NA NA NA NA 2102 NA NA NA NA 2483 NA NA NA NA
1543356000.0 123.2 194 NA NA NA NA 263 NA NA NA NA 2238 NA NA NA NA 2735 NA NA NA NA
1543356000.0 123.3 181 NA NA NA NA 239 NA NA NA NA 1729 NA NA NA NA 2101 NA NA NA NA
1543356000.0 124.1 193 NA NA NA NA 254 NA NA NA NA 1736 NA NA NA NA 2142 NA NA NA NA
1543356000.0 124.2 199 NA NA NA NA 262 NA NA NA NA 1993 NA NA NA NA 2328 NA NA NA NA
1543356000.0 124.4 190 NA NA NA NA 254 NA NA NA NA 1765 NA NA NA NA 2118 NA NA NA NA
1543356000.0 124.5 189 NA NA NA NA 254 NA NA NA NA 1785 NA NA NA NA 2122 NA NA NA NA
